,username,displayname,userId,rawDescription,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location
31,Jacqueline0997,Jacqueline Enriquez,1304250769990914048,"𝐀𝐫𝐦𝐲 & 𝐀𝐭𝐢𝐧𝐲 ✨
🇲🇽/🇺🇸",False,2020-09-11T02:50:22+00:00,12,61,99,567,0,28,Tu ❤
33,fcknonksj,c,1336731102375981062,🤔🤨,False,2020-12-09T17:57:05+00:00,42,44,745,70,0,118,candado cuando 💤💤
34,iSINGULARITYKTH,michaelnya,1334900636723388420,"only army 🛐 
btspoper
he/him",False,2020-12-04T16:41:38+00:00,7,71,231,395,0,2,
36,jeonbornsinger,lia,1319000568556388352,only jeonation,False,2020-10-21T19:40:41+00:00,37,45,649,1221,1,57,@godsjeon
37,es_esposo,olischikistrikis,1310476379650232320,:3,False,2020-09-28T07:08:20+00:00,14,11,22,32,0,0,
38,csfluv,mapache💤Jennie covid #JennieApologize,1320114685484695555,"Mujer, lesbiana y vegetariana👌",False,2020-10-24T21:27:29+00:00,33,47,664,139,0,49,
41,ayilen_7,ღ「 ᴋɪɴɢᴛᴀɴ sᴜᴘʀᴇᴍᴀᴄʏ⁷」🇨🇱➽💛🧈,1320143183133769729,"방탄소년단: Trabajaré aún más duro a tu lado, lo prometo💜
Header: @ulsiart",False,2020-10-24T23:20:49+00:00,11,183,1327,2763,0,110,
44,iF4lRYS,ً mich #HyunjinBully,1378540077899452418,#FREESUNOO,False,2021-04-04T02:49:23+00:00,16,13,285,48,0,45,ಠᴥಠ
45,mimibirpido23,MINGI IS BACK🏳‍🌈,1377667400754212865,"Bangtan los amo:(, soy Kpoper me dedico más a la cultura asiática que a la cultura de mi país, fua MINGI TE EXTRAÑO :(, Hyunjin T amo aa, MINGI'S BACK😭✨💗💗💗",False,2021-04-01T17:01:39+00:00,2,109,28,340,0,4,
46,Lopez02971543,Alejandra Lopez 🌻,3353284492,,False,2015-07-01T14:31:25+00:00,39,31,4581,1227,2,126,
50,xnyie,⛧,1359598204573151245,Lalisa ?! the loml,False,2021-02-10T20:21:01+00:00,59,57,288,91,0,44,
51,fettynvl,☪ Fett,1374858117519925251,♡,False,2021-03-24T22:58:21+00:00,45,42,447,73,0,51,
52,luvmorkie,🔮☀︎︎kamy,1398057909498548227,NCTZEN - WAYZENNI Block if you’re 🧁,False,2021-05-27T23:26:07+00:00,38,81,19,66,0,4,
58,69DHSL,🍓,1384292035411070984,,False,2021-04-19T23:45:28+00:00,60,66,376,196,0,68,S|NINGNING
61,ibpflops,.,1398058471904403458,borra putita,False,2021-05-27T23:28:27+00:00,8,12,27,1,0,0,era @ikpopflop
63,borrayborro303,Ani,1392502811867369474,,False,2021-05-12T15:32:56+00:00,25,66,41,9,0,0,
66,btw29_,BANGTAN SUPREMACY,1337640239788142592,ʙᴛꜱ ᴘᴀᴠᴇᴅ ᴛʜᴇ ᴡᴀʏ,False,2020-12-12T06:08:12+00:00,12,34,49,174,0,8,
67,thebangtanista,idk,1369482319216709644,,False,2021-03-10T02:56:51+00:00,0,7,21,54,0,1,
69,fantomofkpop,Fantom,1398049325066997760,it never happened (or did it),False,2021-05-27T22:52:45+00:00,0,11,18,38,0,2,
70,naayuux,Nayuu,1397960006067273735,Army-Atiny-NCTzen,False,2021-05-27T16:57:10+00:00,1,12,6,36,0,2,"Cali, Colombia"
73,jdlsufj,JdlsufjLd,1391806626986926080,,False,2021-05-10T17:25:39+00:00,1,48,808,1262,0,72,
74,KittyCum3,🧈,1391567998159409165,Carol te chupo el pie😋,False,2021-05-10T01:37:49+00:00,4,6,111,990,0,6,
75,chishiyac,:v,1398008948524032001,jugando roblox cn yeeun,False,2021-05-27T20:11:30+00:00,1,2,28,0,0,2,mujer
78,Fabs_cast38,tttinyongs🧈,1293336966575128579,xd,False,2020-08-12T00:03:09+00:00,104,207,2021,7230,1,32,
80,seukwy,jongie,1318330108005015552,,False,2020-10-19T23:16:15+00:00,0,4,13,15,0,0,
93,ss_devil_ss,Naomi*,1314924108442935298,*,False,2020-10-10T13:42:15+00:00,0,11,4,45,0,0,
94,dnaisadope,☾ ◡̈,859187495384252417,"#방탄소년단 #아미 💜 #정국🐰❄️🎥☂️  
#Lifegoeson ✈️🖤",False,2017-05-01T23:27:16+00:00,353,213,75498,139141,1,349,花樣年華 ☾
97,DragaliaMeme,Dragalia Meme Account,1381288313726861315,"internet meme man dragalia meme account
so far half my posts are me simping for alex",False,2021-04-11T16:49:38+00:00,58,59,825,738,1,117,alex in 4 months
98,udontcarew,mim,1397791068377210880,"borra y borro
                                                                       candado cuando duermo",False,2021-05-27T05:45:43+00:00,4,9,27,41,0,3,
99,yutashub,bella,1391683898749243392,#YANGYANG & #XIAOJUN enthusiast!,False,2021-05-10T09:18:01+00:00,52,80,163,208,0,16,she/her 17. stan wayv
